class_id,name
0,อสังหาริมทรัพย์
1,พระเครื่อง
2,รถยนต์
3,เสื้อผ้า
4,สวยงาม
5,ตกแต่งบ้าน
6,เครื่องใช้ไฟฟ้า
7,เทคโนโลยี
8,อาหาร
9,บริการ
10,อื่นๆ
